flight_id,departure_airport,arrival_airport,model,flight_time_mm,book_date,fare_conditions,amount
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-20T20:14:00Z,Business,36600.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-16T15:00:00Z,Business,36600.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-21T12:05:00Z,Business,36600.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-13T06:59:00Z,Business,36600.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-20T07:29:00Z,Business,36600.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-12T16:52:00Z,Business,36600.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-09T02:35:00Z,Business,36600.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-09T09:22:00Z,Business,36600.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-17T11:42:00Z,Business,36600.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-16T20:46:00Z,Business,36600.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-24T20:01:00Z,Business,36600.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-20T07:29:00Z,Economy,13400.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-11T00:28:00Z,Economy,13400.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-10T11:17:00Z,Economy,13400.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-24T20:01:00Z,Economy,13400.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-10T18:23:00Z,Economy,13400.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-12T21:51:00Z,Economy,12200.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-15T10:23:00Z,Economy,12200.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-11T10:29:00Z,Economy,12200.00
136119,AAQ,SVO,Boeing 737-300,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,2016-12-12T17:45:00Z,Economy,12200.00
